COLPVM;COLGANTE PLASTICA V/MODELOS;COLPVM;UND;1,25;1,5
CRIX15IL;CRISANTEMO x 15 C/ILUSION;CRIX15IL;UND;1,25;1,5
CRIX15P;CRISANTEMO x 15  PEQUEÑO;CRIX15P;UND;1,8;2,16
CRIX18;CRISANTEMO x 18;CRIX18;UND;4,9;5,88
CRIX36P;CRISANTEMO x 36 PEQUEÑO;CRIX36P;UND;1,9;2,28
CRIX7P;CRISANTEMO X 7 PEQUEÑA;CRIX7P;UND;0,75;0,9
CRX4TL;CRISANTEMO x 4 T/L;CRX4TL;UND;2,75;3,3
CRX5TL;CRISANTEMO x 5 T/L;CRX5TL;UND;2,75;3,3
EGYPIUR;ENCAJE GIPIUR;EGYPIUR;UND;0,4;0,52
ENRBP;ENREDADERA  BOTON PLASTICA;ENRBP;UND;1,3;1,56
ENRBT;ENREDADERA BOTON;ENRBT;UND;1,35;1,62
ENRCAM;ENREDADERA CAMPANA;ENRCAM;UND;1,95;2,34
ENRCI;ENREDADERA CIRUELO;ENRCI;UND;1,35;1,62
ENRFR;ENREDADERA FRUTA;ENRFR;UND;1,25;1,5
ENRGP;ENREDADERA GIRASOL PEQUEÑO;ENRGP;UND;1,45;1,74
ENRHJ;ENREDADERA HOJA;ENRHJ;UND;0,5;0,5
ENRMAR;ENREDADERA MARGARITA;ENRMAR;UND;2,25;2,7
ENRNG;ENREDADERA  NAVIDEÑA GRANDE;ENRNG;UND;;1,07
ENROFER;ENREDADERAS OFERTAS;ENROFER;UND;0,5;0,5
ENRRPL;ENREDADERA ROSA  PLASTICA;ENRRPL;UND;1,6;1,92
ESF15;ESPIGA FLOR x 15 T/L;ESF15;UND;2,9;3,48
ESFV2;ESPIGA FOMIX V/MODELOS # 2;ESFV2;UND;1;1,2
ESFVM;ESPIGA FOMIX VARIOS MODELOS;ESFVM;UND;0,75;0,9
ESGTL;ESPIGA GIRASOL T/L;ESGTL;UND;2,5;3
ESHF;ESPIGA HOJA FINA;ESHF;UND;0,75;0,9
ESHFN;ESPIGA HOJA FINA NAVIDEÑA;ESHFN;UND;0,7;0,84
ESNTM;ESPIGA NAVIDEÑA T/MADERA;ESNTM;UND;2,3;2,76
ESNVM;ESPIGA NAVIDEÑA VARIOS MODELOS;ESNVM;UND;1,75;2,1
ESPBM;ESPIGA BOLITA MEDIANA;ESPBM;UND;0,15;0,18
ESPBP;ESPIGA BOLITA PEQUEÑA;ESPBP;UND;0,12;0,14
ESPC;ESPIGA FOMIX C/HOJA CRISTAL;ESPC;UND;1,55;1,86
ESPF;ESPIGA FOMIX;ESPF;UND;0,75;0,9
ESPSTL;ESPIGA SECAS T/L;ESPSTL;UND;1,2;1,44
ESSFV;ESPIGA FLOR V/MODELOS T/L;ESSFV;UND;4;4,8
ESSVM;ESPIGA SECAS VARIOS MODELOS;ESSVM;UND;1,5;1,8
ESTMVM;ESPIGA TALLO MADERA VARIOS MODELOS;ESTMVM;UND;2,3;2,76
FLMCG;FLORERO DE MADERA CUADRADO GDE;FLMCG;UND;30;36
FLMCM;FLORERO DE MADERA CUADRADO MED.;FLMCM;UND;13;15,6
FLMG;FLORERO DE MADERA;FLMG;UND;;13,4
FLMR;FLORERO DE MADERA RECTANGULAR;FLMR;UND;12;14,4
FLNX7G;FLOR NAVIDEÑA X 7 GRANDE;FLNX7G;UND;2,5;3
FLNX7P;FLOR NAVIDEÑA x 7 PEQUEÑA;FLNX7P;UND;0,8;0,96
FLOFERT;FLORES OFERTA;FLOFERT;UND;;1
FLORSE;FLORES SECAS x 12;FLORSE;UND;2;2,4
FLPX9;FLOR PEQUEÑO x 9;FLPX9;UND;1,5;1,8
FLTAPE;FLORA TAPE;FLTAPE;UND;0,5;0,6
FRMNL;FRUTAS (MANZANA, NARANJA,LIMON);FRMNL;UND;1,15;1,38
FRUVG;FRUTA UVA GRANDE;FRUVG;UND;4,8;5,76
GIRX12;GIRASOL x 12;GIRX12;UND;2,75;3,3
GIRX3TL;GIRASOL x 3 TALLO LARGO;GIRX3TL;UND;2,25;2,7
GIRX3TM;GIRASOL x 3 TALLO MEDIANO;GIRX3TM;UND;2;2
GIRX5BR;GIRASOL x 5 CON BRILLO T. L;GIRX5BR;UND;3;3,3
GIRX7TL;GIRASOL x 7 T/LARGO;GIRX7TL;UND;1,8;2,16
GIRX8;GIRASOL x 8;GIRX8;UND;0,55;0,66
GIX12E;GIRASOL x 12 ESPECIAL;GIX12E;UND;3,9;3,9
HCL;HOJA DE CAUCHO LARGA;HCL;UND;2,9;3,48
HCP;HOJA DE CAUCHO PEQUEÑA;HCP;UND;2,5;3
HEL2;HELECHO # 2;HEL2;UND;6,5;7,8
HEL3;HELECHO # 3;HEL3;UND;4,25;5,1
HELC1;HELECHO # 1;HELC1;UND;11,5;13,8
HELMED;HELECHO MEDIANO;HELMED;UND;1,95;2,34
HELPEQ;HELECHO PEQUEÑO;HELPEQ;UND;1,35;1,62
HFIC;HOJA FICUS;HFIC;UND;0,65;0,78
HGVM;HOJA GRANDE  V/MODELOS;HGVM;UND;1,2;1,44
HHG;HOJA HELECHO GRANDE;HHG;UND;0,95;1,14
HHNV;HOJA HELECHO NAVIDEÑA;HHNV;UND;0,22;0,27
HHPEQ;HOJA HELECHO PEQUEÑA;HHPEQ;UND;0,16;0,19
HNP;HOJA NAVIDEÑA PEQUEÑA;HNP;UND;0,55;0,66
HPAV;HOJA PAVO;HPAV;UND;0,78;0,94
HVM;HOJA  VARIOS MODELOS;HVM;UND;0,75;0,9
ILUCX5P;ILUSION x 5 PLASTICA;ILUCX5P;UND;0,95;1,14
ILUX21;ILUSION X 21;ILUX21;UND;0,85;1,02
ILUX5;ILUCION X 5;ILUX5;UND;0,27;0,33
ILUX5TL;ILUSION x 5  T/L;ILUX5TL;UND;0,85;1,02
ILUX5TM;ILUSION x 5 T/M;ILUX5TM;UND;0,8;0,96
ILUX9PL;ILUSION x 9 PLASTICA;ILUX9PL;UND;0,85;1,02
ILX12DOC;ILUSION x 12;ILX12DOC;UND;1,5;1,8
LIX12P;LIRIO x 12 PEQUEÑO;LIX12P;UND;0,6;0,6
LIX7P;LIRIO  x 7 PEQUEÑO;LIX7P;UND;1,25;1,5
MACCM;MACETA CON CADENA METALICA;MACCM;UND;1,25;1,5
MACT2;MACETA # 2;MACT2;UND;0,25;0,3
MACT4;MACETA # 4;MACT4;UND;0,75;0,9
MACT5;MACETA # 5;MACT5;UND;1;1,2
MACT6;MACETA # 6;MACT6;UND;3,5;4,2
MACTP;MACETA TIRA PEQ/;MACTP;UND;0,4;0,48
MADUGR;MANZANA- DURAZNO GRANDE;MADUGR;UND;6;7,2
MALMP;MALA MADRE PEQ.;MALMP;UND;1,2;1,44
MAONG;MACETA ONDULADA GRD/;MAONG;UND;0,38;0,46
MAONP;MACETA ONDULADA PEQ/;MAONP;UND;0,32;0,38
MAOV;MACETA OVALADA;MAOV;UND;0,32;0,38
MAPAG;MACETA PARED GRD/;MAPAG;UND;0,9;1,08
MAPAP;MACETA PARED PEQ/;MAPAP;UND;0,25;0,3
MAR36IL;MARGARITA x 36 CON ILUSION;MAR36IL;UND;2,35;2,82
MARAF;MARGARITA AFRICANA;MARAF;UND;1,7;2,04
MARBTL;MARGARITA BICOLOR T.L.;MARBTL;UND;1,8;2,16
MARGX7;MARGARITA x 7;MARGX7;UND;0,5;0,5
MARX21N;MARGARITA X 21 NUEVA;MARX21N;UND;0,9;1,08
MARX22N;MARGARITA x 22 NUEVA;MARX22N;UND;3;3,6
MARX7TM;MARGARITA x 7 TALLO MEDIANO;MARX7TM;UND;1,3;1,56
MATPL;MACETA TIRA GRD/;MATPL;UND;0,75;0,9
MX7HPQ;MARGARITA x 7 C/HOJA PLAST.PEQUEÑA;MX7HPQ;UND;1,35;1,62
OFCFS;OFERT.CART.DE FLORES SUELTAS Y PALOS;OFCFS;UND;44,64;44,64
ORQDAP;ORQUIDEA PEQUEÑA;ORQDAP;UND;2,5;3
ORX7H;ORQUIDEA x 7 C/HOJA;ORX7H;UND;2,25;2,7
ORX7TL;ORQUIDEA x 7 T/L;ORX7TL;UND;6;7,2
ORX8TL;ORQUIDEA x 8 T/L;ORX8TL;UND;7;8,4
PACEG2;PAPEL CELOFAN # 2 GRANDE;PACEG2;UND;2,75;3,3
PACEL1;PAPEL CELOFAN # 1;PACEL1;UND;1,3;1,56
PACEL2;PAPEL CELOFAN # 2;PACEL2;UND;1,8;2,16
PACEL3;PAPEL CELOFAN # 3;PACEL3;UND;1,8;2,16
PACEL4;PAPEL CELOFAN # 4;PACEL4;UND;3,4;4,08
PACEL5;PAPEL CELOFAN # 5;PACEL5;UND;5,8;6,96
PACEL6;PAPEL CELOFAN # 6;PACEL6;UND;6,8;8,16
PACEL7;PAPEL CELOFAN # 7;PACEL7;UND;4;4,8
PACEL8;PAPEL CELOFAN # 8;PACEL8;UND;4,9;5,88
PACER;PAPEL CELOFAN ROLLO;PACER;UND;12;14,4
PCABDOC;PAPEL CELOFAN ABIERTO / DOC;PCABDOC;UND;0,69;0,83
PCFTR1;PAPEL CELOFAN FD/ TRANS/ 1;PCFTR1;UND;2,5;3
PCFTR2;PAPEL CELOFAN FD/ TRANS/ 2;PCFTR2;UND;3,5;4,2
PCFTR3;PAPEL CELOFAN FD/ TRANS/ 3;PCFTR3;UND;4,8;5,76
PCFTR4;PAPEL CELOFAN FD/ TRANS/ 4;PCFTR4;UND;6;7,2
PCFTR5;PAPEL CELOFAN FD/ TRANS/ 5;PCFTR5;UND;8,5;10,2
PIÑGR;PIÑA GRANDE;PIÑGR;UND;6,5;7,8
PLAGIRX3;PLANTA GIRASOL x 3;PLAGIRX3;UND;7,5;9
PLAGIRX4;PLANTA GIRASOL x 4;PLAGIRX4;UND;9,5;11,4
PLAGIRX5;PLANTA GIRASOL x 5;PLAGIRX5;UND;10;12
PLCARG;PLANTA CARTUCHO GRANDE;PLCARG;UND;8,5;10,2
PLCARM;PLANTA CARTUCHO MEDIANA;PLCARM;UND;3,5;4,2
PLCARP;PLANTA CARTUCHO PEQUENA;PLCARP;UND;2,5;3
RACAMX7;RAMO CAMPANA x 7;RACAMX7;UND;0,85;1,02
RAHPL;RAMO HOJA PLASTICA;RAHPL;UND;1,6;1,92
RAMARP;RAMO MARGARITA PEQUEÑA;RAMARP;UND;1,25;1,5
RBIX11;ROSA CON BOTON / ILUSION x 11;RBIX11;UND;4,4;5,28
RBX27;ROSA CON BOTON x 27;RBX27;UND;2,8;3,36
RBX5TL;ROSA -BOTON x 5 T/L;RBX5TL;UND;3,9;4,68
ROBX3 TL;ROSA CON BOTON x 3 T.L;ROBX3 TL;UND;1,25;1,5
ROSA21TM;ROSA x 21 T/MEDIANO;ROSA21TM;UND;1,9;2,28
ROSX10IL;ROSITA x 10 CON ILUSION;ROSX10IL;UND;1,2;1,44
ROSX15P;ROSA x 15 PEQUEÑA;ROSX15P;UND;0,9;1,08
ROSX21B;"ROSA x 21 "" B """;ROSX21B;UND;1,35;1,5
ROSX21N;ROSITA x 21 NUEVA;ROSX21N;UND;0,85;1,02
ROSX3ESP;ROSA x 3 ESPECIAL;ROSX3ESP;UND;3,4;4,08
ROSX7BI;ROSA x 7 BICOLOR;ROSX7BI;UND;1,75;2,1
ROSX7ESP;ROSA x 7 CON ESPIGA;ROSX7ESP;UND;0,65;0,78
ROX11G;ROSA x 11 GRANDE;ROX11G;UND;4,8;5,76
ROX14ESP;ROSA x 14 C/ESPIGA;ROX14ESP;UND;1,45;1,74
ROX14GL;ROSA x 14 GRANDE LOCAL;ROX14GL;UND;2,5;3
ROX14ILU;ROSA x 14 C/ILUSION;ROX14ILU;UND;1,45;1,74
ROX14PRI;ROSA x 14 PRIMAVERA;ROX14PRI;UND;1,65;1,98
ROX21BRI;ROSITA x 21 C/ BRILLO;ROX21BRI;UND;1,8;2,16
ROX36ME;ROSA x 36 MEDIANA;ROX36ME;UND;5,5;6,6
ROX36PE;ROSA x 36 PEQUEÑA;ROX36PE;UND;5,5;6,6
ROX3NTL;ROSA x 3 NUEVA T/L;ROX3NTL;UND;1,85;2,22
ROX4TL;ROSA x 4 T/L;ROX4TL;UND;2,6;3,12
ROX7IESP;ROSA x 7 C/ILUSION ESPECIAL;ROX7IESP;UND;4,25;5,1
ROX7PRIM;ROSA x 7 PRIMAVERA MED.;ROX7PRIM;UND;0,65;0,78
ROX8MUL;ROSA x 8 MULTICOLOR;ROX8MUL;UND;4,3;5,16
RPLAVM;RAMOS PLASTICOS V/MODELOS;RPLAVM;UND;0,85;1,02
RTX7PQ;ROSA T x 7 PEQUEÑA;RTX7PQ;UND;2,45;2,94
RX1NUE;ROSA x 1 NUEVA;RX1NUE;UND;4,5;5,4
RX3STL;ROSA x 3 DE SEDA T/L;RX3STL;UND;2,25;2,7
RX4PB;ROSA x 4 PEQ. CON BOTON;RX4PB;UND;1,65;1,98
RX6CBI;ROSA x 6 CON BOTON / ILUSION;RX6CBI;UND;4,4;5,28
TULIX4TL;TULIPAN x 4 T/L;TULIX4TL;UND;1,6;1,92
TULX1;TULIPAN x 1;TULX1;UND;3,5;4,2
TULX4G;TULIPAN x 4 GRANDE;TULX4G;UND;3,5;4,2
TULX5TL;TULIPAN x 5 TALLO LARGO;TULX5TL;UND;2,25;2,7
UVAS;UVAS;UVAS;UND;2,25;2,7
YEX50LB;YESO x 50 LB.;YEX50LB;UND;;8,93
ZAPALLO;ZAPALLO;ZAPALLO;UND;1,5;1,8
